date,open,high,low,close,volume,bm_ret_week
2024-02-02,1680.15,1685.602,1512.062,1550.374,59432721259.0,-0.07724072255453385
2024-02-09,1534.189,1764.391,1482.986,1726.859,74993346607.0,0.12558426634528064
2024-02-23,1752.863,1783.812,1722.491,1758.193,84852804992.0,0.0030407396356701977
2024-03-01,1752.756,1830.939,1738.334,1824.035,100660871863.0,0.040666812722364165
2024-03-08,1827.129,1855.613,1779.768,1807.294,80165101870.0,-0.01085582900824178
2024-03-15,1817.072,1915.094,1812.786,1884.088,84012797162.0,0.03688131235306025
2024-03-22,1906.116,1926.396,1860.354,1869.175,91481586579.0,-0.01938024758199397
2024-03-29,1864.532,1871.064,1787.964,1818.203,82493808680.0,-0.024847522059154747
2024-04-05,1833.492,1872.118,1833.492,1840.412,48214380202.0,0.003774218813062724
2024-04-12,1834.453,1840.55,1760.944,1762.877,65088155906.0,-0.03901762541749498
2024-04-19,1770.172,1807.947,1740.401,1756.001,78996478745.0,-0.008005436759817686
2024-04-26,1739.007,1826.49,1735.284,1823.741,74760174326.0,0.04872550829295097
2024-05-03,1831.444,1904.915,1831.444,1858.393,34892618167.0,0.01471461862879786
2024-05-10,1896.841,1907.021,1863.216,1878.165,81347370382.0,-0.009845843694858969
2024-05-17,1859.344,1876.172,1833.434,1864.939,73359307438.0,0.0030091257992066467
2024-05-24,1869.545,1887.054,1818.137,1818.562,72571839213.0,-0.02727027164363527
2024-05-31,1824.165,1832.819,1802.766,1805.109,67255856758.0,-0.010446423432090901
2024-06-07,1806.409,1858.686,1764.836,1781.07,74233069321.0,-0.014027277322024023
2024-06-14,1766.915,1799.09,1758.889,1791.362,50738616650.0,0.013835979659462927
2024-06-21,1780.936,1822.115,1742.466,1755.876,65058874840.0,-0.014071252420075675
2024-06-28,1745.929,1755.523,1680.418,1683.43,65559701022.0,-0.03579698830823019
2024-07-05,1679.662,1689.545,1631.886,1655.594,63674864304.0,-0.014329073349281019
2024-07-12,1651.641,1694.776,1614.605,1683.629,66688856945.0,0.019367404902154828
2024-07-19,1674.887,1731.126,1665.338,1725.487,58014449720.0,0.03021099333865518
2024-07-26,1729.28,1735.601,1638.54,1659.534,60534687399.0,-0.04033239267209465
2024-08-02,1653.39,1694.591,1621.935,1638.304,73579491330.0,-0.009124284046716169
2024-08-09,1621.188,1656.09,1595.642,1595.642,68945813502.0,-0.015757580243623837
2024-08-16,1596.414,1608.95,1581.051,1591.461,69421411770.0,-0.003102578654409216
2024-08-23,1589.207,1608.266,1537.777,1546.903,76258300211.0,-0.02661956560724943
2024-08-30,1550.045,1601.156,1512.171,1580.459,73959370889.0,0.019621365831314463
2024-09-06,1577.445,1581.869,1533.458,1538.072,71401068186.0,-0.02495998275692657
2024-09-13,1528.649,1577.168,1522.876,1535.168,60866392313.0,0.004264549939194673
2024-09-20,1533.382,1565.215,1520.723,1536.599,37815858664.0,0.0020979768902986695
2024-09-27,1538.055,1919.785,1528.941,1885.489,111361976038.0,0.22589179190601105
2024-10-04,1994.262,2182.388,1966.338,2175.086,47832140201.0,0.09067213836496912
2024-10-11,2576.217,2576.217,2066.577,2100.871,176420946651.0,-0.18451318347794454
2024-10-18,2119.385,2273.0,2026.52,2195.101,163050125647.0,0.0357254580927957
