date,open,high,low,close,open_hfq,high_hfq,low_hfq,close_hfq,close_original,adj_factor,adj_factor_hfq,volume,amount,turnover,EP,BM,EV_EBITDA,FCF_Yield,ROE,Gross_Profit,Accruals,Asset_Growth,NBIS_W,ATVR_5_20,REV1,MOM_2_20,IND_RS_5,VOL20,AMIHUD20,THEME_HEAT,RSI,MACD,stock_code,stock_name
2024-03-15,73.82,93.22,72.9,89.82,224.08,282.28,221.32,272.08,90.0,0.9979999999999999,3.023111111111111,1848870,15871589063.0,11.23,0.018251110516511383,0.25190427963938483,0.3740635631246141,0.010950666309906829,0.09734482757594633,0.25,0.03797665404334555,0.10396292286398798,4.7641119999999987e-07,1.781408629413366,-0.05835148458099271,0.5035806507410588,0.14528986056267135,0.7517239374823053,0.03556139383159614,0.41613248955732274,80.40526848809388,7.418084042744937,300474,景嘉微
2024-03-22,88.82,92.12,80.44,81.07,269.08,278.98,243.94,245.83,81.25,0.9977846153846153,3.0256000000000003,1318405,11246779304.0,8.008,0.020220978741742356,0.2790926655632114,0.33759616666368725,0.012132587245045413,0.09616677875207348,0.25,-0.012364763907177334,0.10149460187172848,2.3927299999999917e-08,1.0678757167479949,-0.0067089972445191215,0.3678994425573473,-0.08950182095310522,0.7913325510689473,0.02623418731210196,0.030062678675048398,65.90378327668694,6.534395468431029,300474,景嘉微
2024-03-29,80.35,81.97,71.82,73.72,243.67,248.53,218.08,223.78,73.9,0.9975642760487143,3.028146143437077,916500,6956508620.0,5.568,0.022237042140437504,0.30691864347815445,0.31708293331090814,0.013342225284262502,0.09497765799918034,0.25,-0.025088322067300012,0.09900308228678606,1.7126500000000002e-07,0.7163257429471719,-0.017577588574567482,0.12038332614532987,-0.06339260572859906,0.7373204020785423,0.017346325376115315,-0.083239711240077,47.22437386867766,2.7597559972142562,300474,景嘉微
2024-04-05,74.8,76.32,68.92,69.3,227.02,231.58,209.38,210.52,69.48,0.9974093264248703,3.029936672423719,468970,3433562353.0,4.726666666666667,0.023655335448673195,0.32649411828585195,0.3123351858965089,0.014193201269203917,0.09426655058394792,0.25,-0.024185222212858636,0.09751312590705032,1.241915999999999e-07,0.6209559312924915,0.05521796565389703,0.05206139615146721,-0.07660547268388329,0.7374158991064035,0.018829380563834437,-0.040300464395868166,12.459230266880539,1.118224137494849,300474,景嘉微
2024-04-12,69.11,70.35,64.87,66.6,209.95,213.67,197.23,202.42,66.78,0.9973045822102425,3.031147050014974,468301,3156304292.0,2.83,0.024614335534430223,0.3397303663244677,0.3210072429805248,0.014768601320658133,0.09309806959977088,0.25,-0.023595485449769735,0.09506485204619415,4.68399999999992e-09,0.46511627906212316,-0.00967741935483879,-0.2821896774419247,0.0031681147284610134,0.48039652215081174,0.01939956921919468,-0.033758427903600036,17.662337661420153,-1.3664523633129448,300474,景嘉微
2024-04-19,66.6,66.81,59.82,63.14,202.42,203.05,182.08,192.04,63.32,0.9971572962728995,3.032849020846494,526012,3351724361.0,3.18,0.025963173053421804,0.35834720299666684,0.34801549422939654,0.015577903832053082,0.09196614792204386,0.25,-0.02509400021003293,0.0926931795126721,5.9226999999999846e-08,0.7323813910471584,0.009292240978782673,-0.2444537613419978,-0.04805150966357896,0.5283625831197254,0.031585923282055284,-0.03491160853003267,29.970760232384535,-2.686316592313929,300474,景嘉微
2024-04-26,61.32,69.32,60.32,69.02,186.58,210.58,183.58,209.68,69.2,0.9973988439306357,3.030057803468208,544945,3587603555.0,3.2939999999999996,0.023751300298363556,0.32781863803549033,0.3670009983655172,0.014250780179018133,0.09088835477133815,0.25,0.020173455711523496,0.09043492042757365,3.595341999999999e-07,0.9432989690451518,0.01940725139160515,-0.08033706491792303,0.054550097982597245,0.5819947916249697,0.03477232890504815,0.04029802168628539,50.22421524400918,-1.8432214472865809,300474,景嘉微
2024-05-03,68.83,71.58,68.4,69.76,209.11,217.36,207.82,211.9,69.94,0.9974263654561053,3.029739776951673,254528,1791475076.0,3.8499999999999996,0.023499351298638938,0.3243412040884395,0.3690135004762522,0.014099610779183362,0.09047617506538186,0.25,-0.005129938888682648,0.08957129593241005,4.116149999999999e-07,1.127485380083992,-0.007823819182845693,-0.05327992252361091,0.0382126251559225,0.5788746736219507,0.034383849901869844,0.08023921720620909,59.83122362515769,-1.0714677460155428,300474,景嘉微
2024-05-10,70.72,72.87,67.82,70.17,214.78,221.23,206.08,213.13,70.35,0.9974413646055438,3.0295664534470506,536402,3790856413.0,3.2439999999999998,0.023362045697492555,0.32244609373250027,0.3709372353458333,0.014017227418495532,0.08950202867124352,0.25,0.00042668628124632475,0.08753020396282533,1.6693319999999996e-07,0.9897787947829205,-0.04006318207926496,0.032778622640037614,-0.004762006074997993,0.551774628175719,0.03236381588249279,0.03305178247508123,67.22017219593432,0.10599427602370781,300474,景嘉微
2024-05-17,69.32,70.16,66.42,68.51,210.58,213.1,201.88,208.15,68.69,0.997379531227253,3.030280972485078,392512,2685712585.0,2.372,0.023928108985448143,0.33025897529133763,0.36749410220719547,0.014356865391268885,0.08862025784496246,0.25,-0.011754543985304716,0.08568266301480565,1.3069769999999991e-07,0.7732681336341233,-0.006525285481239873,0.1274190215861598,-0.016614853599832613,0.4597112031573259,0.027398568197832356,-0.023441902199981164,56.00706713319142,-0.14039293369378925,300474,景嘉微
2024-05-24,67.87,70.58,63.75,63.88,206.23,214.36,193.87,194.26,64.06,0.9971901342491414,3.0324695597876987,385189,2613765692.0,2.3280000000000003,0.025662409934142965,0.35419603001267286,0.36011093119068827,0.015397445960485779,0.08784454906895622,0.25,-0.009728950773053906,0.08405734985554157,1.2736649999999996e-07,0.7891525423461305,0.03200117976699601,0.07099658363777028,-0.04271353748143947,0.4184110900192288,0.029754806461691968,-0.01079665254498631,34.490238609095144,-0.6340012251629474,300474,景嘉微
2024-05-31,64.47,72.02,62.82,69.17,196.03,218.68,191.08,210.13,69.35,0.997404470079308,3.029992790194665,643569,4404627408.0,3.8899999999999997,0.023699793936577312,0.32710774030952067,0.35934833586846876,0.014219876361946387,0.08718694257432283,0.25,0.004224098827587045,0.08267949192431123,6.66380999999999e-08,1.3148555010540866,-0.022983392645314238,-0.028319045891711747,0.09020912476418463,0.3919460536924312,0.029932599378375276,0.02433888600365448,53.55844155454641,-0.1476679326814434,300474,景嘉微
2024-06-07,70.52,71.45,64.45,66.39,214.18,216.97,195.97,201.79,66.45,0.9990970654627539,3.0367193378480057,533758,3662854384.0,3.2299999999999995,0.024692193803178983,0.3408049766110791,0.36146398403373126,0.014815316281907388,0.08665764545734879,0.25,0.007803775700399172,0.08157047576259187,1.535283e-07,1.0930626057159707,0.0008887572211524475,-0.03353173863943837,-0.026873632833146255,0.37063057944042155,0.030194253503989736,-0.006017361321793336,40.82687338205904,-0.21335478613546854,300474,景嘉微
2024-06-14,65.54,70.1,65.44,69.44,199.24,212.92,198.94,210.94,69.5,0.999136690647482,3.035107913669065,407261,2791811925.0,3.08,0.023607643240107324,0.3258358640151144,0.3619344873301396,0.014164585944064393,0.08633218169079278,0.25,-0.00047465170392049316,0.08088854388427719,-2.5984599999999972e-08,1.0169601033430153,-0.002339181286549641,0.012911490777814949,0.04548072159065519,0.3725943195864972,0.027972571995976865,-0.0021717642570570164,65.95866819217325,0.07599033747361261,300474,景嘉微
2024-06-21,68.97,71.22,65.67,67.75,209.53,216.28,199.63,205.87,67.81,0.9991151747529863,3.0359828933785575,527293,3658479551.0,3.188,0.024196527624989705,0.333963725420067,0.3606123646888707,0.014517916574993822,0.0860531240211975,0.25,-0.01018310167146242,0.08030384493975584,-4.7921600000000035e-08,0.9625603864443671,0.031940681591330344,0.07039752516032172,-0.004528049531058009,0.3553402113637197,0.02294922052493178,0.01522572939293455,44.43573667224057,0.15705606136783956,300474,景嘉微
2024-06-28,66.96,67.73,61.74,63.17,203.5,205.81,187.84,192.13,63.23,0.9990510833465128,3.0385892772418157,341022,2185600385.0,2.0620000000000003,0.02595084290949901,0.3581770206935182,0.36350692656240535,0.015570505745699405,0.08591997439234893,0.25,-0.020094811397832493,0.08002486157562155,-4.249399999999944e-09,0.7118936647432456,0.023743016759776525,-0.06425805168767706,-0.026342298259611097,0.3277874477194547,0.027197520826841643,-0.05326289643897601,40.17094016750674,-1.1780057541658095,300474,景嘉微
